CODIGO|DESCRIPCION|TIPO
I68.2|Arteritis cerebral en otras enfermedades clasificadas bajo otro concepto|D
I68.8|Otros trastornos cerebrovasculares en enfermedades clasificadas bajo otro concepto|D
I69.00|Secuelas no especificadas de hemorragia subaracnoidea no traumatica|D
I69.01|Deterioro cognitivo tras hemorragia subaracnoidea no traumatica|D
I69.020|Afasia tras hemorragia subaracnoidea no traumatica|D
I69.021|Disfasia tras hemorragia subaracnoidea no traumatica|D
I69.022|Disartria tras hemorragia subaracnoidea no traumatica|D
I69.023|Trastorno de la fluidez del habla tras hemorragia subaracnoidea no traumatica|D
I69.028|Otros deficits del habla y el lenguaje tras hemorragia subaracnoidea no traumatica|D
I69.031|Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante|D
I69.032|Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante|D
I69.033|Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante|D
I69.034|Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante|D
I69.039|Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado|D
I69.041|Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante|D
I69.042|Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante|D
I69.043|Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante|D
I69.044|Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante|D
I69.049|Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado|D
I69.051|Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante|D
I69.052|Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante|D
I69.053|Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante|D
I69.054|Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante|D
I69.059|Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado|D
I69.061|Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado derecho dominante|D
I69.062|Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado izquierdo dominante|D
I69.063|Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado derecho no dominante|D
I69.064|Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado izquierdo no dominante|D
I69.065|Otro sindrome paralitico tras hemorragia subaracnoidea no traumatica, bilateral|D
I69.069|Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado no especificado|D
I69.090|Apraxia tras hemorragia subaracnoidea no traumatica|D
I69.091|Disfagia tras hemorragia subaracnoidea no traumatica|D
I69.092|Paresia facial tras hemorragia subaracnoidea no traumatica|D
I69.093|Ataxia tras hemorragia subaracnoidea no traumatica|D
I69.098|Otras secuelas tras hemorragia subaracnoidea no traumatica|D
I69.10|Secuelas no especificadas de hemorragia intracerebral no traumatica|D
I69.11|Deterioro cognitivo tras hemorragia intracerebral no traumatica|D
I69.120|Afasia tras hemorragia intracerebral no traumatica|D
I69.121|Disfasia tras hemorragia intracerebral no traumatica|D
I69.122|Disartria tras hemorragia intracerebral no traumatica|D
I69.123|Trastorno de la fluidez del habla tras hemorragia intracerebral no traumatica|D
I69.128|Otros deficits del habla y el lenguaje tras hemorragia intracerebral no traumatica|D
I69.131|Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante|D
I69.132|Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante|D
I69.133|Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante|D
I69.134|Monoplejia de extremidad superior tras hemorragia intracerebral no traumaticacon afectacion de lado izquierdo no dominante|D
I69.139|Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado no especificado|D
I69.141|Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante|D
I69.142|Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante|D
I69.143|Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante|D
I69.144|Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante|D
I69.149|Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado no especificado|D
I69.151|Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante|D
I69.152|Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante|D
I69.153|Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante|D
I69.154|Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante|D
I69.159|Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado no especificado|D
I69.161|Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante|D
I69.162|Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante|D
I69.163|Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante|D
I69.164|Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante|D
I69.165|Otro sindrome paralitico tras hemorragia intracerebral no traumatica, bilateral|D
I69.169|Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado no especificado|D
I69.190|Apraxia tras hemorragia intracerebral no traumatica|D
I69.191|Disfagia tras hemorragia intracerebral no traumatica|D
I69.192|Paresia facial tras hemorragia intracerebral no traumatica|D
I69.193|Ataxia tras hemorragia intracerebral no traumatica|D
I69.198|Otras secuelas de hemorragia intracerebral no traumatica|D
I69.20|Secuela no especificada de otro tipo de hemorragia intracraneal no traumatica|D
I69.21|Deterioro cognitivo tras otro tipo de hemorragia intracraneal no traumatica|D
I69.220|Afasia tras otro tipo de hemorragia intracraneal no traumatica|D
I69.221|Disfasia tras otro tipo de hemorragia intracraneal no traumatica|D
I69.222|Disartria tras otro tipo de hemorragia intracraneal no traumatica|D
I69.223|Trastorno de la fluidez del habla tras otro tipo de hemorragia intracraneal no traumatica|D
I69.228|Otros deficits del habla y el lenguaje tras otro tipo de hemorragia intracraneal no traumatica|D
I69.231|Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante|D
I69.232|Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante|D
I69.233|Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante|D
I69.234|Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante|D
I69.239|Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado|D
I69.241|Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante|D
I69.242|Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante|D
I69.243|Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante|D
I69.244|Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante|D
I69.249|Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado|D
I69.251|Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante|D
I69.252|Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante|D
I69.253|Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante|D
I69.254|Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante|D
I69.259|Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado|D
I69.261|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante|D
I69.262|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante|D
I69.263|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante|D
I69.264|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante|D
I69.265|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica, bilateral|D
I69.269|Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado|D
I69.290|Apraxia tras otro tipo de hemorragia intracraneal no traumatica|D
I69.291|Disfagia tras otro tipo de hemorragia intracraneal no traumatica|D
I69.292|Paresia facial tras otros tipos de hemorragia intracraneal|D
I69.293|Ataxia tras otro tipo de hemorragia intracraneal no traumatica|D
I69.298|Otras secuelas de otros tipos de hemorragia intracraneal no traumatica|D
I69.30|Secuelas no especificadas de infarto cerebral|D
I69.31|Deterioro cognitivo tras infarto cerebral|D
I69.320|Afasia tras infarto cerebral|D
I69.321|Disfasia tras infarto cerebral|D
I69.322|Disartria tras infarto cerebral|D
I69.323|Trastorno de la fluidez del habla tras infarto cerebral|D
I69.328|Otros deficits del habla y el lenguaje tras infarto cerebral|D
I69.331|Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado derecho dominante|D
I69.332|Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado izquierdo dominante|D
I69.333|Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado derecho no dominante|D
I69.334|Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado izquierdo no dominante|D
I69.339|Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado no especificado|D
I69.341|Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado derecho dominante|D
I69.342|Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado izquierdo dominante|D
I69.343|Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado derecho no dominante|D
I69.344|Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado izquierdo no dominante|D
I69.349|Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado no especificado|D
I69.351|Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado derecho dominante|D
I69.352|Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado izquierdo dominante|D
I69.353|Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado derecho no dominante|D
I69.354|Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado izquierdo no dominante|D
I69.359|Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado no especificado|D
I69.361|Otros sindromes paraliticos tras infarto cerebral con afectacion de lado derecho dominante|D
I69.362|Otros sindromes paraliticos tras infarto cerebral con afectacion de lado izquierdo dominante|D
I69.363|Otros sindromes paraliticos tras infarto cerebral con afectacion de lado derecho no dominante|D
I69.364|Otros sindromes paraliticos tras infarto cerebral con afectacion de lado izquierdo no dominante|D
I69.365|Otros sindromes paraliticos tras infarto cerebral, bilaterales|D
I69.369|Otros sindromes paraliticos tras infarto cerebral con afectacion de lado no especificado|D
I69.390|Apraxia tras infarto cerebral|D
I69.391|Disfagia tras infarto cerebral|D
I69.392|Paresia facial tras infarto cerebral|D
I69.393|Ataxia tras infarto cerebral|D
I69.398|Otras secuelas de infarto cerebral|D
I69.80|Secuelas no especificadas de otro tipo de enfermedad cerebrovascular|D
I69.81|Deterioro cognitivo tras otra enfermedad cerebrovascular|D
I69.820|Afasia tras otra enfermedad cerebrovascular|D
I69.821|Disfasia tras otra enfermedad cerebrovascular|D
I69.822|Disartria tras otra enfermedad cerebrovascular|D
I69.823|Trastorno de la fluidez del habla tras otro tipo de enfermedad cerebrovascular|D
I69.828|Otros deficits del habla y el lenguaje tras otra enfermedad cerebrovascular|D
I69.831|Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante|D
I69.832|Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante|D
I69.833|Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante|D
I69.834|Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante|D
I69.839|Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado no especificado|D
I69.841|Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante|D
I69.842|Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante|D
I69.843|Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante|D
I69.844|Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante|D
I69.849|Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado no especificado|D
I69.851|Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante|D
I69.852|Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante|D
I69.853|Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante|D
I69.854|Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante|D
I69.859|Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado no especificado|D
I69.861|Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante|D
I69.862|Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante|D
I69.863|Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante|D
I69.864|Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante|D
I69.865|Otro sindrome paralitico tras otra enfermedad cerebrovascular, bilateral|D
I69.869|Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado no especificado|D
I69.890|Apraxia tras otros tipos de enfermedad cerebrovascular|D
I69.891|Disfagia tras otra enfermedad cerebrovascular|D
I69.892|Paresia facial tras otra enfermedad cerebrovascular|D
I69.893|Ataxia tras otra enfermedad cerebrovascular|D
I69.898|Otras secuelas de enfermedad cerebrovascular|D
I69.90|Secuelas no especificadas de enfermedad cerebrovascular no especificada|D
I69.91|Deterioro cognitivo tras enfermedad cerebrovascular no especificada|D
I69.920|Afasia tras enfermedad cerebrovascular no especificada|D
I69.921|Disfasia tras enfermedad cerebrovascular no especificada|D
I69.922|Disartria tras enfermedad cerebrovascular no especificada|D
I69.923|Trastorno de la fluidez del habla tras enfermedad cerebrovascular no especificada|D
I69.928|Otros deficits del habla y el lenguaje tras enfermedad cerebrovascular no especificada|D
I69.931|Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante|D
I69.932|Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante|D
I69.933|Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante|D
I69.934|Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante|D
I69.939|Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado|D
I69.941|Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante|D
I69.942|Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante|D
I69.943|Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante|D
I69.944|Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante|D
I69.949|Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado|D
I69.951|Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante|D
I69.952|Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante|D
I69.953|Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante|D
I69.954|Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante|D
I69.959|Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado|D
I69.961|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante|D
I69.962|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante|D
I69.963|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante|D
I69.964|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante|D
I69.965|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada, bilateral|D
I69.969|Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado|D
I69.990|Apraxia tras enfermedad cerebrovascular no especificada|D
I69.991|Disfagia tras enfermedad cerebrovascular no especificada|D
I69.992|Paresia facial tras enfermedad cerebrovascular no especificada|D
I69.993|Ataxia tras enfermedad cerebrovascular no especificada|D
I69.998|Otras secuelas tras enfermedad cerebrovascular no especificada|D
I70.0|Aterosclerosis de aorta|D
I70.1|Aterosclerosis de arteria renal|D
I70.201|Aterosclerosis no especificada de arterias nativas de las extremidades, pierna derecha|D
I70.202|Aterosclerosis no especificada de arterias nativas de las extremidades, pierna izquierda|D
I70.203|Aterosclerosis no especificada de arterias nativas de las extremidades, piernas, bilateral|D
I70.208|Aterosclerosis no especificada de arterias nativas de las extremidades, otra extremidad|D
I70.209|Aterosclerosis no especificada de arterias nativas de las extremidades, extremidad no especificada|D
I70.211|Aterosclerosis de arterias nativas de extremidades con claudicacion intermitente, pierna derecha|D
I70.212|Aterosclerosis de arterias nativas de extremidades con claudicacion intermitente, pierna izquierda|D
I70.213|Aterosclerosis de arterias nativas de extremidades con claudicacion intermitente, piernas, bilateral|D
I70.218|Aterosclerosis de arterias nativas de otras extremidades con claudicacion intermitente|D
I70.219|Aterosclerosis de arterias nativas de extremidades con claudicacion intermitente, extremidad no especificada|D
I70.221|Aterosclerosis de arterias nativas de extremidades con dolor en reposo, pierna derecha|D
I70.222|Aterosclerosis de arterias nativas de extremidades con dolor en reposo, pierna izquierda|D
I70.223|Aterosclerosis de arterias nativas de extremidades con dolor en reposo, piernas, bilateral|D
I70.228|Aterosclerosis de arterias nativas de extremidades con dolor en reposo, otra extremidad|D
I70.229|Aterosclerosis de arterias nativas de extremidades con dolor en reposo, extremidad no especificada|D
I70.231|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de muslo|D
I70.232|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de pantorrilla|D
I70.233|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de tobillo|D
I70.234|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de talon y parte media del pie|D
I70.235|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de otra parte del pie|D
I70.238|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de otra parte de parte inferior de pierna derecha|D
I70.239|Aterosclerosis de arterias nativas de pierna derecha con ulceracion de localizacion no especificada|D
I70.241|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de muslo|D
I70.242|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de pantorrilla|D
I70.243|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de tobillo|D
I70.244|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de talon y parte media del pie|D
I70.245|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de otra parte del pie|D
I70.248|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de otra parte de pierna inferior izquierda|D
I70.249|Aterosclerosis de arterias nativas de pierna izquierda con ulceracion de localizacion no especificada|D
I70.25|Aterosclerosis de arterias nativas de otras extremidades con ulceracion|D
I70.261|Aterosclerosis de arterias nativas de extremidades con gangrena, pierna derecha|D
I70.262|Aterosclerosis de arterias nativas de extremidades con gangrena, pierna izquierda|D
I70.263|Aterosclerosis de arterias nativas de extremidades con gangrena, piernas, bilateral|D
I70.268|Aterosclerosis de arterias nativas de extremidades con gangrena, otra extremidad|D
I70.269|Aterosclerosis de arterias nativas de extremidades con gangrena, extremidad no especificada|D
I70.291|Otras aterosclerosis de arterias nativas de las extremidades, pierna derecha|D
I70.292|Otras aterosclerosis de arterias nativas de las extremidades, pierna izquierda|D
I70.293|Otras aterosclerosis de arterias nativas de las extremidades, piernas, bilateral|D
I70.298|Otras aterosclerosis de arterias nativas de las extremidades, otra extremidad|D
I70.299|Otras aterosclerosis de arterias nativas de las extremidades, extremidad no especificada|D
I70.301|Aterosclerosis no especificada de tipo no especificado de injerto(s) de derivacion de las extremidades, pierna derecha|D
I70.302|Aterosclerosis no especificada de tipo no especificado de injerto(s) de derivacion de las extremidades, pierna izquierda|D
I70.303|Aterosclerosis no especificada de tipo no especificado de injerto(s) de derivacion de las extremidades, piernas, bilateral|D
I70.308|Aterosclerosis no especificada de tipo no especificado de injerto(s) de derivacion de las extremidades, otra extremidad|D
I70.309|Aterosclerosis no especificada de tipo no especificado de injerto(s) de derivacion de las extremidades, extremidad no especificada|D
I70.311|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con claudicacion intermitente, pierna derecha|D
I70.312|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con claudicacion intermitente, pierna izquierda|D
I70.313|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con claudicacion intermitente, piernas, bilateral|D
I70.318|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con claudicacion intermitente, otra extremidad|D
I70.319|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con claudicacion intermitente, extremidad no especificada|D
I70.321|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con dolor en reposo, pierna derecha|D
I70.322|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con dolor en reposo, pierna izquierda|D
I70.323|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con dolor en reposo, piernas, bilateral|D
I70.328|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con dolor en reposo, otra extremidad|D
I70.329|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con dolor en reposo, extremidad no especificada|D
I70.331|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de muslo|D
I70.332|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de pantorrilla|D
I70.333|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de tobillo|D
I70.334|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de talon y parte media del pie|D
I70.335|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de otra parte del pie|D
I70.338|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de otra localizacion de parte inferior de pierna|D
I70.339|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna derecha con ulceracion de localizacion no especificada|D
I70.341|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de muslo|D
I70.342|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de pantorrilla|D
I70.343|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de tobillo|D
I70.344|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de talon y parte media del pie|D
I70.345|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de otra parte del pie|D
I70.348|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de otra localizacion de parte inferior de pierna|D
I70.349|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de pierna izquierda con ulceracion de localizacion no especificada|D
I70.35|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de otra extremidad con ulceracion|D
I70.361|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con gangrena, pierna derecha|D
I70.362|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con gangrena, pierna izquierda|D
I70.363|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con gangrena, piernas, bilateral|D
I70.368|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con gangrena, otra extremidad|D
I70.369|Aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades con gangrena, extremidad no especificada|D
I70.391|Otra aterosclerosis no especificada de injerto(s) de derivacion de las extremidades, pierna derecha|D
I70.392|Otra aterosclerosis no especificada de injerto(s) de derivacion de las extremidades, pierna izquierda|D
I70.393|Otra aterosclerosis no especificada de injerto(s) de derivacion de las extremidades, piernas, bilateral|D
I70.398|Otra aterosclerosis no especificada de injerto(s) de derivacion de las extremidades, otra extremidad|D
I70.399|Otra aterosclerosis de tipo no especificado de injerto(s) de derivacion de las extremidades, extremidad no especificada|D
I70.401|Aterosclerosis no especificada de injerto(s) de derivacion venoso autologo de las extremidades, pierna derecha|D
I70.402|Aterosclerosis no especificada de injerto(s) de derivacion venoso autologo de las extremidades, pierna izquierda|D
I70.403|Aterosclerosis no especificada de injerto(s) de derivacion venoso autologo de las extremidades, piernas, bilateral|D
I70.408|Aterosclerosis no especificada de injerto(s) de derivacion venoso autologo de las extremidades, otra extremidad|D
I70.409|Aterosclerosis no especificada de injerto(s) de derivacion venoso autologo de las extremidades, extremidad no especificada|D
I70.411|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con claudicacion intermitente, pierna derecha|D
I70.412|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con claudicacion intermitente, pierna izquierda|D
I70.413|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con claudicacion intermitente, piernas, bilateral|D
I70.418|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con claudicacion intermitente, otra extremidad|D
I70.419|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con claudicacion intermitente, extremidad no especificada|D
I70.421|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con dolor en reposo, pierna derecha|D
I70.422|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con dolor en reposo, pierna izquierda|D
I70.423|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con dolor en reposo, piernas, bilateral|D
I70.428|Aterosclerosis de injerto(s) de derivacion venoso autologo de las extremidades con dolor en reposo otra extremidad|D
I70.429|Aterosclerosis de injerto(s) de derivacion venoso autologo de extremidades con dolor en reposo, extremidad no especificada|D
I70.431|Aterosclerosis de injerto(s) de derivacion venoso autologo de pierna derecha con ulceracion de muslo|D
I70.432|Aterosclerosis de injerto(s) de derivacion venoso autologo de pierna derecha con ulceracion de pantorrilla|D
I70.433|Aterosclerosis de injerto(s) de derivacion venoso autologo de pierna derecha con ulceracion de tobillo|D
