TEXTO;CORRECCION
comparadas;comparar
ejecutado;ejecutar
benefician;beneficiar
condicionada;condicionar
contribuyendo;contribuir
afectará;afectar
comprobó;comprobar
prescrita;prescribir
agregando;agregar
apreció;apreciar
notó;notar
incrementó;incrementar
proclaman;proclamar
concretados;concretar
supuesta;suponer
significará;significar
eliminas;eliminar
liberas;liberar
sentirás;sentir
queman;quemar
rejuveneces;rejuvenecer
fortalecen;fortalecer
ejercitan;ejercitar
estás;estar
deprimid;deprimir
acostumbran;acostumbrar
comprometidas;comprometer
envejecidos;envejecer
aplanada;aplanar
conducirán;conducir
formará;formar
diferenciado;diferenciar
teñidas;teñir
reconocen;reconocer
señalan;señalar
facilitada;facilitar
reducidas;reducir
desoxigenado;desoxigenar
transportada;transportar
eliminada;eliminar
solicitadas;solicitar
tumbado;tumbar
fumado;fumar
atraviesan;atravesar
ejercida;ejercer
optado;optar
alterando;alterar
sumergido;sumergir
recibidos;recibir
substraído;substraer
precedió;preceder
coexisten;coexistir
automatizado;automatizar
podremos;poder
influenciado;influenciar
respirando;respirar
disuelta;disolver
inspirada;inspirar
comprendido;comprender
despreciado;despreciar
controladas;controlar
necesitará;necesitar
ventilado;ventilar
encontraremos;encontrar
logrando;lograr
presentando;presentar
azulada;azular
salgado;salgar
grava;gravar
aunado;aunar
acoplados;acoplar
recalcando;recalcar
alcanzada;alcanzar
retornada;retornar
administrando;administrar
segmentados;segmentar
machas;machar
colonizan;colonizar
identifican;identificar
elaboraron;elaborar
privadas;privar
alojan;alojar
dotado;dotar
originando;originar
revestida;revestir
alargada;alargar
lubrican;lubricar
aglutinan;aglutinar
ingeridas;ingerir
favorecida;favorecer
vierten;verter
recogido;recoger
empaquetadas;empaquetar
desplazaran;desplazar
estudió;estudiar
marcadas;marcar
observo;observar
multiplican;multiplicar
originó;originar
desgastados;desgastar
reemplazados;reemplazar
acabando;acabar
desembocando;desembocar
dirigen;dirigir
existido;existir
predominando;predominar
superpuestas;superponer
reflejando;reflejar
concentraron;concentrar
fusionan;fusionar
agrupados;agrupar
habitan;habitar
recogidos;recoger
neutralizada;neutralizar
sombreadas;sombrear
semienterrados;semienterrar
recolectados;recolectar
involucradas;involucrar
marcó;marcar
agrupaban;agrupar
participaban;participar
recomendando;recomendar
aportó;aportar
confirmó;confirmar
destruidas;destruir
inhibida;inhibir
almacenado;almacenar
cambian;cambiar
estrellada;estrellar
adherirán;adherir
reforzando;reforzar
inhibido;inhibir
eliminadas;eliminar
depositadas;depositar
corregidos;corregir
sangrando;sangrar
evitados;evitar
cesado;cesar
reemplazadas;reemplazar
prevendrá;prevenir
aminorada;aminorar
trasfusiona;trasfusionar
caracterizados;caracterizar
comprometen;comprometer
preparada;preparar
desencadenada;desencadenar
unificada;unificar
existían;existir
celebró;celebrar
encomendó;encomendar
redactada;redactar
presidido;presidir
propuso;proponer
eliminaban;eliminar
oponían;oponer
regularizada;regularizar
parís;parir
nominada;nominar
traducido;traducir
formaron;formar
efectuaron;efectuar
descartan;descartar
discutió;discutir
aceptó;aceptar
citada;citar
efectuó;efectuar
implementaron;implementar
recomendaron;recomendar
armonizados;armonizar
aprobaron;aprobar
centra;centrar
ilustrada;ilustrar
denominó;denominar
creada;crear
ideado;idear
maduran;madurar
envejeciendo;envejecer
degenerando;degenerar
examinado;examinar
encerrado;encerrar
crecen;crecer
irradian;irradiar
finalizan;finalizar
provenían;provenir
taro;tarar
exponían;exponer
solían;soler
expone;exponer
numeradas;numerar
comercializan;comercializar
cuecen;cocer
cocinado;cocinar
aliñadas;aliñar
acompañadas;acompañar
cocidas;cocer
asadas;asar
horneadas;hornear
licuadas;licuar
procesan;procesar
cortadas;cortar
enrollan;enrollar
cortan;cortar
abstiene;abstener
cocinados;cocinar
eliminando;eliminar
estropeadas;estropear
manipulado;manipular
refrigerados;refrigerar
refrigerado;refrigerar
agujereadas;agujerear
congelado;congelar
escaldan;escaldar
escalfan;escalfar
mencionan;mencionar
rechazando;rechazar
retrogrado;retrogradar
dividida;dividir
evaluada;evaluar
anotada;anotar
comparada;comparar
determinará;determinar
ofrecida;ofrecer
ancladas;anclar
dejan;dejar
hablan;hablar
sentirá;sentir
fabricadas;fabricar
toleradas;tolerar
hechas;hacer
construidas;construir
duplicada;duplicar
administrada;administrar
captada;captar
administrado;administrar
administrarán;administrar
minimizados;minimizar
aclaran;aclarar
dais;dar
viajan;viajar
precipitan;precipitar
heredados;heredar
anestesiados;anestesiar
asincronizado;asincronizar
ubican;ubicar
acortan;acortar
agregaron;agregar
sufrían;sufrir
requerían;requerir
mostraban;mostrar
amenazando;amenazar
categorizada;categorizar
sufrieron;sufrir
fallaron;fallar
incluían;incluir
causarían;causar
continuaran;continuar
ajustada;ajustar
dad;dar
destilada;destilar
fallidos;fallir
prevenido;prevenir
redondeadas;redondear
referida;referir
detiene;detener
consultados;consultar
esperado;esperar
buscada;buscar
repuesta;reponer
disputado;disputar
inalterado;inalterar
monitorizado;monitorizar
inactivan;inactivar
sosteniendo;sostener
recibiendo;recibir
revirtiendo;revertir
reconstituidos;reconstituir
admitió;admitir
asesinado;asesinar
marcados;marcar
incurrido;incurrir
padecieran;padecer
llamó;llamar
apasionado;apasionar
animo;animar
fuerzan;forzar
complicadas;complicar
fallidas;fallir
propusieron;proponer
conviene;convenir
disparan;disparar
dotados;dotar
dotan;dotar
subiendo;subir
reprimido;reprimir
corren;correr
participadas;participar
reforzada;reforzar
desencadenadas;desencadenar
implantadas;implantar
apropiadas;apropiar
valen;valer
corremos;correr
devorados;devorar
estaremos;estar
tensan;tensar
suceden;suceder
concurren;concurrir
satisfechos;satisfacer
sobrepasan;sobrepasar
secretados;secretar
vivido;vivir
presenciado;presenciar
imaginado;imaginar
reprimidas;reprimir
enmascarado;enmascarar
ampliados;ampliar
tranquilizan;tranquilizar
preparadas;preparar
confieren;conferir
generalizadas;generalizar
incidirá;incidir
acoplada;acoplar
unificado;unificar
decimos;decir
disociada;disociar
sobreviene;sobrevenir
abolido;abolir
retienen;retener
retenidos;retener
deprimido;deprimir
explican;explicar
enrojecida;enrojecer
mostrada;mostrar
tomaremos;tomar
restaremos;restar
emitida;emitir
llegados;llegar
acentuado;acentuar
adormilado;adormilar
categorizan;categorizar
determinarán;determinar
absorbidas;absorber
expenden;expender
prescritos;prescribir
sintetizadas;sintetizar
atribuyen;atribuir
asignan;asignar
previsto;prever
granulados;granular
extraídos;extraer
purificado;purificar
normalizada;normalizar
normalizan;normalizar
acaban;acabar
registradas;registrar
suponen;suponer
detectaron;detectar
poniendo;poner
extienden;extender
organizadas;organizar
fallado;fallar
amamantando;amamantar
suprimen;suprimir
almacenadas;almacenar
emparentada;emparentar
agrandada;agrandar
midiendo;medir
marcado;marcar
absorbido;absorber
destruyen;destruir
dañan;dañar
tolerados;tolerar
consensuadas;consensuar
aquejado;aquejar
sentados;sentar
acostados;acostar
individualizadas;individualizar
atendiendo;atender
empastada;empastar
apagada;apagar
deslustrado;deslustrar
debilitado;debilitar
marcan;marcar
manifestada;manifestar
forzada;forzar
presionando;presionar
validada;validar
cuestionado;cuestionar
extrapolando;extrapolar
inadvertida;inadvertir
involucran;involucrar
potenciado;potenciar
promulgado;promulgar
alternan;alternar
dirigidos;dirigir
precisados;precisar
educado;educar
existió;existir
enrojecido;enrojecer
refirió;referir
diseminada;diseminar
diseminado;diseminar
quedando;quedar
correspondieran;corresponder
separó;separar
completó;completar
agrupó;agrupar
acuñó;acuñar
enrojecidas;enrojecer
solevantadas;solevantar
crecían;crecer
retornando;retornar
distinguió;distinguir
acuñando;acuñar
divulgó;divulgar
señaló;señalar
balean;balear
describieron;describir
confirmaron;confirmar
rompiendo;romper
sirvió;servir
revolucionaron;revolucionar
concedió;conceder
revisados;revisar
existiendo;existir
amplificando;amplificar
simulan;simular
desencadenó;desencadenar
presentados;presentar
parecidas;parecer
reconocidos;reconocer
proliferando;proliferar
promoviendo;promover
induradas;indurar
delimitadas;delimitar
evolucionada;evolucionar
intensifican;intensificar
reaparecen;reaparecer
girando;girar
embarcados;embarcar
balanceando;balancear
desembarcado;desembarcar
estipulada;estipular
mareado;marear
revertido;revertir
matriculado;matricular
azulado;azular
equivocada;equivocar
conseguido;conseguir
bajado;bajar
ganaremos;ganar
pensados;pensar
habladas;hablar
resucita;resucitar
concentran;concentrar
ordenes;ordenar
ultima;ultimar
aid;air
sistematizada;sistematizar
desecada;desecar
reportados;reportar
capacitada;capacitar
revocando;revocar
normalizadas;normalizar
adiestradas;adiestrar
denotan;denotar
asumido;asumir
variaron;variar
realizaban;realizar
alternaban;alternar
unificaron;unificar
reanimado;reanimar
potenciando;potenciar
realizarán;realizar
integrados;integrar
resumidas;resumir
aplicadas;aplicar
identificará;identificar
encontrasen;encontrar
aconsejada;aconsejar
inclinan;inclinar
tendida;tender
quieren;querer
crearían;crear
soplando;soplar
enriquecido;enriquecer
hinchando;hinchar
cambiando;cambiar
interrumpiendo;interrumpir
practicados;practicar
causaron;causar
adaptan;adaptar
colocada;colocar
prosiguiendo;proseguir
intubado;intubar
espirado;espirar
acoplado;acoplar
descompenses;descompensar
estiman;estimar
oxigenados;oxigenar
elevando;elevar
perseguida;perseguir
declarado;declarar
improvisado;improvisar
insertado;insertar
hales;halar
finalizado;finalizar
reiteran;reiterar
ocurridos;ocurrir
superponen;superponer
percibida;percibir
seleccionados;seleccionar
notan;notar
centrada;centrar
representando;representar
infiltran;infiltrar
conformadas;conformar
anastomosados;anastomosar
delimitados;delimitar
encapsuladas;encapsular
alargadas;alargar
recidivan;recidivar
ubicadas;ubicar
fluyen;fluir
hospitalizada;hospitalizar
perfundidas;perfundir
ventiladas;ventilar
especifico;especificar
adquiridos;adquirir
oxigeno;oxigenar
fraccionada;fraccionar
potencian;potenciar
mateo;matear
dedicado;dedicar
acentuadas;acentuar
vinculada;vincular
cubren;cubrir
apiñan;apiñar
reunidas;reunir
congregado;congregar
descubren;descubrir
ulcerada;ulcerar
calcificada;calcificar
envuelto;envolver
integrado;integrar
envueltas;envolver
chupan;chupar
adormecen;adormecer
embriagan;embriagar
llegaron;llegar
mandó;mandar
rodrigo;rodrigar
aspirando;aspirar
relatan;relatar
iban;ir
sorben;sorber
fumaban;fumar
aspiraban;aspirar
adoptó;adoptar
fundó;fundar
adquirió;adquirir
difundiendo;difundir
manufacturados;manufacturar
prosiguió;proseguir
imitando;imitar
aromatizado;aromatizar
compró;comprar
aparecerá;aparecer
derrocaron;derrocar
ocurrió;ocurrir
tiraban;tirar
indeterminado;indeterminar
recogían;recoger
enrollaban;enrollar
nombran;nombrar
escritas;escribir
prohibido;prohibir
restringida;restringir
bajando;bajar
ofrecen;ofrecer
estilizado;estilizar
simulando;simular
protagonizada;protagonizar
reconstruida;reconstruir
despreciadas;despreciar
mamad;mamar
creció;crecer
estudiaran;estudiar
compuso;componer
sentó;sentar
sobresalieron;sobresalir
reeditado;reeditar
quitado;quitar
precavido;precaver
compadecido;compadecer
paré;parar
hirviendo;hervir
enfrentará;enfrentar
esquivará;esquivar
resueltos;resolver
podríamos;poder
cortada;cortar
deformada;deformar
andando;andar
colocadas;colocar
aludiendo;aludir
agregó;agregar
mediadas;mediar
predisponiendo;predisponer
reportada;reportar
transcurridos;transcurrir
reconoció;reconocer
orinaban;orinar
perdían;perder
atribuyó;atribuir
expresando;expresar
transformabas;transformar
reconocían;reconocer
fallecían;fallecer
cosechados;cosechar
enfatizada;enfatizar
tardó;tardar
debían;deber
publicando;publicar
asimilada;asimilar
atendió;atender
provocó;provocar
excitando;excitar
adquirieron;adquirir
midió;medir
repitió;repetir
discontinuó;discontinuar
tramitó;tramitar
planteó;plantear
elaborado;elaborar
intentando;intentar
consiguieron;conseguir
extirpado;extirpar
purificaron;purificar
extendió;extender
permitieron;permitir
compartieron;compartir
atribuían;atribuir
dejaron;dejar
decidió;decidir
derivarían;derivar
osciló;oscilar
vio;ver
concluyen;concluir
cicatrizan;cicatrizar
ingerido;ingerir
validados;validar
validado;validar
encargará;encargar
encabezó;encabezar
contribuyó;contribuir
apreciaron;apreciar
sospecharon;sospechar
etiquetaron;etiquetar
asimiló;asimilar
constató;constatar
seguían;seguir
declarada;declarar
rechazada;rechazar
acordó;acordar
inscrita;inscribir
analizó;analizar
racionada;racionar
apoyó;apoyar
proyectada;proyectar
formulando;formular
predominaban;predominar
complementada;complementar
comían;comer
mandan;mandar
estandarizados;estandarizar
priorizó;priorizar
pudieron;poder
repunto;repuntar
encargan;encargar
contrarrestan;contrarrestar
refutado;refutar
vinculado;vincular
medían;medir
costaron;costar
comparados;comparar
invirtiendo;invertir
sofisticados;sofisticar
servían;servir
llegaban;llegar
aberradas;aberrar
semidesarrollada;semidesarrollar
azufrado;azufrar
catalizada;catalizar
nombradas;nombrar
obstaculizando;obstaculizar
reflejado;reflejar
conduciendo;conducir
consultado;consultar
automatizados;automatizar
dosificados;dosificar
conceden;conceder
registrada;registrar
presionado;presionar
hechizado;hechizar
compraban;comprar
importaban;importar
comerciaban;comerciar
adquirían;adquirir
fabricaban;fabricar
elaboraban;elaborar
necesitaban;necesitar
vendían;vender
aisló;aislar
difundidos;difundir
obligó;obligar
conocían;conocer
calentó;calentar
intentaran;intentar
incitó;incitar
ampliaron;ampliar
aceleró;acelerar
estimuló;estimular
fomentó;fomentar
derivó;derivar
comercializado;comercializar
vendió;vender
curó;curar
sintetizó;sintetizar
inyectó;inyectar
morían;morir
enfrentó;enfrentar
buscó;buscar
comercializó;comercializar
esterilizada;esterilizar
exportado;exportar
interrumpió;interrumpir
correspondieron;corresponder
inyectaron;inyectar
remitieron;remitir
recurrieron;recurrir
consideró;considerar
huido;huir
reconocieron;reconocer
fabricaran;fabricar
adaptó;adaptar
descubrieron;descubrir
modificadas;modificar
invertían;invertir
inspeccionadas;inspeccionar
respondió;responder
fundadas;fundar
surgieron;surgir
fusionadas;fusionar
incrementadas;incrementar
aducen;aducir
financian;financiar
recopiló;recopilar
revisó;revisar
representaban;representar
rotan;rotar
ascendieron;ascender
disputan;disputar
expresados;expresar
sostienen;sostener
pagados;pagar
acusan;acusar
analizadas;analizar
garantizan;garantizar
expirado;expirar
financiada;financiar
aquejan;aquejar
desembocado;desembocar
otorgó;otorgar
prueban;probar
extendidos;extender
careciendo;carecer
facilitaban;facilitar
digeridas;digerir
transportadas;transportar
juegan;jugar
degradadas;degradar
equivocado;equivocar
significando;significar
reguladas;regular
utilizaban;utilizar
tradujeron;traducir
indujeron;inducir
emergieron;emerger
desaparecieron;desaparecer
sobrevivieron;sobrevivir
desacreditaron;desacreditar
vieron;ver
desarrollaban;desarrollar
contraían;contraer
enfocan;enfocar
defienden;defender
perseguido;perseguir
esperados;esperar
aprovechada;aprovechar
articulan;articular
privados;privar
pagando;pagar
obligan;obligar
estandarizada;estandarizar
entrañan;entrañar
institucionalizados;institucionalizar
dedican;dedicar
ponderado;ponderar
atacó;atacar
argumentó;argumentar
enfrentados;enfrentar
extirpan;extirpar
irritan;irritar
intensificada;intensificar
constatado;constatar
culminan;culminar
adaptado;adaptar
guardan;guardar
vinculados;vincular
independizan;independizar
justifican;justificar
sobrepuestos;sobreponer
aislados;aislar
dotada;dotar
condicionan;condicionar
sabemos;saber
tomaran;tomar
aceptando;aceptar
decrecen;decrecer
quedaron;quedar
recurren;recurrir
sumidas;sumir
crían;criar
padeciendo;padecer
predijo;predecir
serían;ser
advertido;advertir
reportó;reportar
solucionados;solucionar
concluido;concluir
cuadruplicado;cuadruplicar
industrializado;industrializar
subyacen;subyacer
facilitando;facilitar
personalizado;personalizar
remiten;remitir
corrigiendo;corregir
dilucidado;dilucidar
consideradas;considerar
transcritos;transcribir
arqueas;arquear
restaurado;restaurar
persistió;persistir
casaban;casar
casan;casar
indicaron;indicar
concluyeron;concluir
subsidiado;subsidiar
jugado;jugar
levantó;levantar
consumieron;consumir
congelados;congelar
cocinan;cocinar
fomentado;fomentar
aumentaron;aumentar
comunicó;comunicar
enfrentan;enfrentar
acordados;acordar
ajustados;ajustar
subestimada;subestimar
explicó;explicar
divertida;divertir
respiran;respirar
adulterado;adulterar
fumados;fumar
figurando;figurar
donó;donar
ignorados;ignorar
trató;tratar
arribaron;arribar
detectó;detectar
empedernido;empedernir
reconociendo;reconocer
intentan;intentar
multiplicada;multiplicar
analizando;analizar
consumidas;consumir
permitidos;permitir
generalizando;generalizar
ascendió;ascender
inhalan;inhalar
emiten;emitir
prohibió;prohibir
luchan;luchar
criticado;criticar
patrocinado;patrocinar
demostrarían;demostrar
resultarían;resultar
decididas;decidir
redactado;redactar
basaron;basar
promovido;promover
entró;entrar
ratificado;ratificar
movido;mover
figurados;figurar
ejercitas;ejercitar
ligadas;ligar
catalogados;catalogar
alcanzando;alcanzar
produjeran;producir
detuvieran;detener
inadecuados;inadecuar
extrapolado;extrapolar
posibilitado;posibilitar
aconsejado;aconsejar
colapsado;colapsar
ascienden;ascender
bifurcada;bifurcar
cosida;coser
afectarán;afectar
implantada;implantar
captadas;captar
activarán;activar
perfeccionada;perfeccionar
informará;informar
mejorado;mejorar
vigilará;vigilar
diseccionada;diseccionar
conectada;conectar
suturada;suturar
concluidos;concluir
sobrepuestas;sobreponer
restringidas;restringir
emergiendo;emerger
complementan;complementar
ligaron;ligar
indicaban;indicar
influenciando;influenciar
pusieron;poner
publicitado;publicitar
creciendo;crecer
regresado;regresar
concuerdan;concordar
sobreocupados;sobreocupar
dificultando;dificultar
restringen;restringir
impone;imponer
investigará;investigar
enguantado;enguantar
dictada;dictar
inyectados;inyectar
introducidas;introducir
mejoraron;mejorar
arriesgados;arriesgar
practican;practicar
atan;atar
opinan;opinar
apareada;aparear
colaboran;colaborar
documentadas;documentar
increases;increar
involved;involver
reprimida;reprimir
oxidadas;oxidar
destinados;destinar
anclada;anclar
fermentado;fermentar
cultivado;cultivar
migran;migrar
degradada;degradar
inactivada;inactivar
inactivadas;inactivar
separan;separar
mutadas;mutar
rebajan;rebajar
aparentan;aparentar
brindando;brindar
azufrados;azufrar
resintetizada;resintetizar
removida;remover
incorporada;incorporar
hidrolizan;hidrolizar
perturbada;perturbar
heredan;heredar
sobrepasadas;sobrepasar
degeneran;degenerar
sobrecargados;sobrecargar
esterificado;esterificar
atacadas;atacar
mostrarían;mostrar
supondrían;suponer
avalado;avalar
designadas;designar
nombrada;nombrar
envió;enviar
promovió;promover
paulo;paular
prohibida;prohibir
amé;amar
sobreexcitadas;sobreexcitar
imitan;imitar
sustituyen;sustituir
consideraron;considerar
rehabilitada;rehabilitar
retardando;retardar
evolucionando;evolucionar
corroboró;corroborar
confirmada;confirmar
relacionando;relacionar
empotradas;empotrar
deterioradas;deteriorar
agravada;agravar
servirán;servir
auxiliado;auxiliar
enjugues;enjugar
tiñen;teñir
dispuesta;disponer
extraído;extraer
compiten;competir
reaven;reavenir
bordeaban;bordear
adoptan;adoptar
azucaradas;azucarar
tendían;tender
añadiendo;añadir
dilucidada;dilucidar
traducen;traducir
proporcionados;proporcionar
demostrados;demostrar
engloban;englobar
protagonizan;protagonizar
efectúan;efectuar
cobran;cobrar
manifestado;manifestar
añadidas;añadir
estancado;estancar
singada;singar
encarcelado;encarcelar
ulcerados;ulcerar
escrita;escribir
encendidas;encender
trajo;traer
multiplicó;multiplicar
plantadas;plantar
invadidas;invadir
aspirada;aspirar
aseguró;asegurar
constituyó;constituir
emitiendo;emitir
negando;negar
incurrían;incurrir
ocultaban;ocultar
presentadas;presentar
desestimadas;desestimar
intentaron;intentar
contaminado;contaminar
habida;haber
mascado;mascar
proliferan;proliferar
provocaban;provocar
calculó;calcular
patrocinados;patrocinar
cuestionan;cuestionar
reveló;revelar
creces;crecer
sabes;saber
resumido;resumir
fluida;fluir
almacenados;almacenar
estudiadas;estudiar
reconstruidos;reconstruir
distribuidas;distribuir
rodeando;rodear
completan;completar
narran;narrar
explayadas;explayar
trabajada;trabajar
tomó;tomar
centralizado;centralizar
nominado;nominar
destacó;destacar
cuestionada;cuestionar
plasmó;plasmar
marcará;marcar
abrió;abrir
incorporando;incorporar
creyó;creer
retardada;retardar
dificultado;dificultar
obligaron;obligar
ignorada;ignorar
patrocinó;patrocinar
autorizó;autorizar
exigidas;exigir
explicada;explicar
agravando;agravar
forzados;forzar
tiemblan;temblar
condimentadas;condimentar
enojado;enojar
avergonzado;avergonzar
sincopes;sincopar
heredada;heredar
visualizada;visualizar
acumulada;acumular
casquéis;cascar
sobrepasando;sobrepasar
agotado;agotar
condenan;condenar
licuada;licuar
reabren;reabrir
predominan;predominar
propagando;propagar
vimos;ver
abrirá;abrir
estarán;estar
deviene;devenir
funcionando;funcionar
suprimida;suprimir
despolarizado;despolarizar
ilustrando;ilustrar
nació;nacer
interrumpidos;interrumpir
perteneció;pertenecer
otorgada;otorgar
finalizó;finalizar
reinició;reiniciar
ofreció;ofrecer
darían;dar
trabajaban;trabajar
participó;participar
falleció;fallecer
jugando;jugar
nacionalizado;nacionalizar
comprometido;comprometer
comprometidos;comprometer
ocluidos;ocluir
aclarando;aclarar
compartido;compartir
ejercían;ejercer
ingresó;ingresar
retornó;retornar
centraban;centrar
midieron;medir
retiró;retirar
formó;formar
casó;casar
entregada;entregar
aseguran;asegurar
fluctúan;fluctuar
inapropiados;inapropiar
caminó;caminar
mostrando;mostrar
despedido;despedir
aprobando;aprobar
especializó;especializar
ejerció;ejercer
regresó;regresar
nombrado;nombrar
honrado;honrar
meditada;meditar
redactó;redactar
concedido;conceder
tituló;titular
animó;animar
penetró;penetrar
esterilizado;esterilizar
experimentando;experimentar
silenciadas;silenciar
basaban;basar
estuvieron;estar
rehabilitaron;rehabilitar
enfriada;enfriar
calentada;calentar
regresada;regresar
insertada;insertar
decreciendo;decrecer
involucró;involucrar
siguieron;seguir
conceptualizado;conceptualizar
evolucionó;evolucionar
interviniendo;intervenir
enfocó;enfocar
reemplazaron;reemplazar
desprovista;desproveer
interconectados;interconectar
impulsadas;impulsar
sustituidos;sustituir
cosidas;coser
evidenciada;evidenciar
revertidas;revertir
ocasionados;ocasionar
atendidas;atender
establecidas;establecer
difundidas;difundir
retardados;retardar
constreñida;constreñir
instruyó;instruir
viajó;viajar
armes;armar
afilió;afiliar
destinado;destinar
incorporó;incorporar
permanecían;permanecer
tuvieran;tener
abandonados;abandonar
rematados;rematar
transformadas;transformar
trasladadas;trasladar
conoció;conocer
mandará;mandar
suspendidos;suspender
sostendrán;sostener
observadas;observar
acompañando;acompañar
bautizado;bautizar
ostentasen;ostentar
perteneciesen;pertenecer
ganando;ganar
sorprendido;sorprender
quitó;quitar
saludó;saludar
ordenó;ordenar
apresado;apresar
fusilado;fusilar
escapó;escapar
agradeció;agradecer
capturado;capturar
emprendió;emprender
enterrado;enterrar
invalides;invalidar
protagonizado;protagonizar
desautorizado;desautorizar
perdonó;perdonar
negó;negar
guardadas;guardar
acorazada;acorazar
respetada;respetar
trasladados;trasladar
concretó;concretar
aliviado;aliviar
renovó;renovar
marginado;marginar
superada;superar
migrando;migrar
autolimitado;autolimitar
descolorado;descolorar
participando;participar
pigmentada;pigmentar
distorsionan;distorsionar
refractan;refractar
bebes;beber
restringidos;restringir
diagnosticas;diagnosticar
revelando;revelar
evocan;evocar
achacaban;achacar
estableciendo;establecer
rebautizado;rebautizar
levan;levar
portan;portar
olvidada;olvidar
averiguó;averiguar
perdurado;perdurar
recuentan;recontar
mutada;mutar
sobreexpresados;sobreexpresar
alterado;alterar
alternando;alternar
desregulada;desregular
atribuida;atribuir
afinada;afinar
influenciados;influenciar
inapropiado;inapropiar
esperada;esperar
obstruido;obstruir
catalogadas;catalogar
comportan;comportar
aumentados;aumentar
orientados;orientar
descubriendo;descubrir
contenían;contener
purificó;purificar
coincidiendo;coincidir
trasladada;trasladar
convirtiendo;convertir
intensificando;intensificar
abandonada;abandonar
substituida;substituir
hablada;hablar
susurrada;susurrar
colocará;colocar
inspirando;inspirar
espirando;espirar
estrechadas;estrechar
oyen;oír
escuchan;escuchar
distienden;distender
espaciadas;espaciar
regeneran;regenerar
exceden;exceder
anheladas;anhelar
disparó;disparar
implantaron;implantar
recuperó;recuperar
desconectada;desconectar
impulsado;impulsar
determinó;determinar
exhibido;exhibir
inventado;inventar
cedió;ceder
colocó;colocar
recibieran;recibir
lograban;lograr
esperando;esperar
patentadas;patentar
requirió;requerir
autocontenido;autocontener
prevista;prever
curvada;curvar
arqueado;arquear
inervado;inervar
paralizado;paralizar
presionan;presionar
proveyó;proveer
observará;observar
holgada;holgar
indicará;indicar
renunció;renunciar
percibiendo;percibir
hundidos;hundir
amplificados;amplificar
rogó;rogar
oyendo;oír
topó;topar
jugaban;jugar
fascinado;fascinar
pidió;pedir
enlazan;enlazar
suspendida;suspender
atenuando;atenuar
confeccionado;confeccionar
pensando;pensar
cites;citar
provocarán;provocar
empujará;empujar
apreciada;apreciar
inervados;inervar
estriada;estriar
rasgado;rasgar
englobado;englobar
marchan;marchar
trasplantó;trasplantar
trasplantada;trasplantar
avisado;avisar
ingresado;ingresar
inspeccionado;inspeccionar
diseccionadas;diseccionar
seccionada;seccionar
desconectado;desconectar
despiertan;despertar
transferidos;transferir
comportando;comportar
debilitó;debilitar
reid;reir
acentúan;acentuar
reproducen;reproducir
tapizada;tapizar
encaminadas;encaminar
infectadas;infectar
tosen;toser
estornudan;estornudar
escupen;escupir
enfermaron;enfermar
salvaran;salvar
acompañados;acompañar
hinchado;hinchar
diseminados;diseminar
expelidas;expeler
hablando;hablar
escupida;escupir
sabiendo;saber
contaminadas;contaminar
higienizada;higienizar
infectada;infectar
venciendo;vencer
drenando;drenar
drenados;drenar
progresará;progresar
coinfectados;coinfectar
seriada;seriar
construían;construir
resultó;resultar
añadió;añadir
sustituyendo;sustituir
identificando;identificar
asegurando;asegurar
estipuló;estipular
enferman;enfermar
sitúan;situar
comparan;comparar
notificados;notificar
correspondían;corresponder
proporcionado;proporcionar
ocasionadas;ocasionar
intercaladas;intercalar
cubriendo;cubrir
militó;militar
integró;integrar
convocado;convocar
debutó;debutar
alternó;alternar
recordada;recordar
clasificó;clasificar
despertaron;despertar
lloren;llorar
citó;citar
intentó;intentar
dijeron;decir
temieron;temer
instaló;instalar
homenajeó;homenajear
enviaron;enviar
saltaron;saltar
rindieron;rendir
tapó;tapar
brindó;brindar
jugó;jugar
homenajeando;homenajear
regaló;regalar
recordaban;recordar
simbolizando;simbolizar
disputó;disputar
enfrentaron;enfrentar
disputaron;disputar
debutado;debutar
entregó;entregar
proyectaron;proyectar
guardó;guardar
colmó;colmar
denunciaron;denunciar
denuncian;denunciar
corrugados;corrugar
responderá;responder
abandonado;abandonar
sincronizado;sincronizar
inducían;inducir
desaparecerían;desaparecer
amortiguada;amortiguar
truncada;truncar
terminada;terminar
precisando;precisar
utilizará;utilizar
desorganizada;desorganizar
oscilan;oscilar
recordando;recordar
precisará;precisar
autolimitada;autolimitar
mojado;mojar
continuará;continuar
cualificada;cualificar
manejado;manejar
relatada;relatar
intentará;intentar
procederá;proceder
prestan;prestar
capacitados;capacitar
exigida;exigir
reglada;reglar
editado;editar
desempeñando;desempeñar
desempeñada;desempeñar
brindan;brindar
laboran;laborar
solicitan;solicitar
liofilizado;liofilizar
asignadas;asignar
calificó;calificar
ofertan;ofertar
orientó;orientar
instituyó;instituir
influyeron;influir
aseguraban;asegurar
cristalizó;cristalizar
propició;propiciar
destinada;destinar
perduran;perdurar
cuidaban;cuidar
donada;donar
didas;didar
proporcionaron;proporcionar
acaecido;acaecer
exigió;exigir
notes;notar
inauguró;inaugurar
formasen;formar
practicaban;practicar
justificaban;justificar
revisaron;revisar
compartidos;compartir
expuso;exponer
planteaban;plantear
conformada;conformar
conciernen;concernir
investigan;investigar
vivirá;vivir
condicionará;condicionar
desproporcionada;desproporcionar
desencadenados;desencadenar
