CODIGO;DESCRIPCION;CODIGO_AGRUP;DESCRIPCION_AGRUP
I66.29;Oclusion y estenosis de arteria cerebral posterior, no especificada;I60-I69;Enfermedades cerebrovasculares
I66.3;Oclusion y estenosis de arterias cerebelosas;I60-I69;Enfermedades cerebrovasculares
I66.8;Oclusion y estenosis de otras arterias cerebrales;I60-I69;Enfermedades cerebrovasculares
I66.9;Oclusion y estenosis de arteria cerebral no especificada;I60-I69;Enfermedades cerebrovasculares
I67.0;Diseccion de arterias cerebrales, no roto;I60-I69;Enfermedades cerebrovasculares
I67.1;Aneurisma cerebral, no roto;I60-I69;Enfermedades cerebrovasculares
I67.2;Aterosclerosis cerebral;I60-I69;Enfermedades cerebrovasculares
I67.3;Leucoencefalopatia vascular progresiva;I60-I69;Enfermedades cerebrovasculares
I67.4;Encefalopatia hipertensiva;I60-I69;Enfermedades cerebrovasculares
I67.5;Enfermedad de Moyamoya;I60-I69;Enfermedades cerebrovasculares
I67.6;Trombosis no piogena de sistema venoso intracraneal;I60-I69;Enfermedades cerebrovasculares
I67.7;Arteritis cerebral, no clasificada bajo otro concepto;I60-I69;Enfermedades cerebrovasculares
I67.81;Insuficiencia cerebrovascular aguda;I60-I69;Enfermedades cerebrovasculares
I67.82;Isquemia cerebral;I60-I69;Enfermedades cerebrovasculares
I67.83;Sindrome de en encefalopatia reversible posterior;I60-I69;Enfermedades cerebrovasculares
I67.841;Sindrome de vasoconstriccion cerebrovascular reversible;I60-I69;Enfermedades cerebrovasculares
I67.848;Otro vasoespasmo y vasoconstriccion cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I67.89;Otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I67.9;Enfermedad cerebrovascular, no especificada;I60-I69;Enfermedades cerebrovasculares
I68.0;Angiopatia amiloide cerebral;I60-I69;Enfermedades cerebrovasculares
I68.2;Arteritis cerebral en otras enfermedades clasificadas bajo otro concepto;I60-I69;Enfermedades cerebrovasculares
I68.8;Otros trastornos cerebrovasculares en enfermedades clasificadas bajo otro concepto;I60-I69;Enfermedades cerebrovasculares
I69.00;Secuelas no especificadas de hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.01;Deterioro cognitivo tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.020;Afasia tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.021;Disfasia tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.022;Disartria tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.023;Trastorno de la fluidez del habla tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.028;Otros deficits del habla y el lenguaje tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.031;Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.032;Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.033;Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.034;Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.039;Monoplejia de extremidad superior tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.041;Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.042;Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.043;Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.044;Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.049;Monoplejia de extremidad inferior tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.051;Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.052;Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.053;Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.054;Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.059;Hemiplejia y hemiparesia tras hemorragia subaracnoidea no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.061;Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.062;Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.063;Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.064;Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.065;Otro sindrome paralitico tras hemorragia subaracnoidea no traumatica, bilateral;I60-I69;Enfermedades cerebrovasculares
I69.069;Otro sindrome paralitico tras hemorragia subaracnoidea con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.090;Apraxia tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.091;Disfagia tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.092;Paresia facial tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.093;Ataxia tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.098;Otras secuelas tras hemorragia subaracnoidea no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.10;Secuelas no especificadas de hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.11;Deterioro cognitivo tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.120;Afasia tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.121;Disfasia tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.122;Disartria tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.123;Trastorno de la fluidez del habla tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.128;Otros deficits del habla y el lenguaje tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.131;Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.132;Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.133;Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.134;Monoplejia de extremidad superior tras hemorragia intracerebral no traumaticacon afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.139;Monoplejia de extremidad superior tras hemorragia intracerebral no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.141;Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.142;Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.143;Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.144;Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.149;Monoplejia de extremidad inferior tras hemorragia intracerebral no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.151;Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.152;Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.153;Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.154;Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.159;Hemiplejia y hemiparesia tras hemorragia intracerebral no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.161;Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.162;Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.163;Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.164;Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.165;Otro sindrome paralitico tras hemorragia intracerebral no traumatica, bilateral;I60-I69;Enfermedades cerebrovasculares
I69.169;Otro sindrome paralitico tras hemorragia intracerebral no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.190;Apraxia tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.191;Disfagia tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.192;Paresia facial tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.193;Ataxia tras hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.198;Otras secuelas de hemorragia intracerebral no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.20;Secuela no especificada de otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.21;Deterioro cognitivo tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.220;Afasia tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.221;Disfasia tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.222;Disartria tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.223;Trastorno de la fluidez del habla tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.228;Otros deficits del habla y el lenguaje tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.231;Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.232;Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.233;Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.234;Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.239;Monoplejia de extremidad superior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.241;Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.242;Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.243;Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.244;Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.249;Monoplejia de extremidad inferior tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.251;Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.252;Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.253;Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.254;Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.259;Hemiplejia y hemiparesia tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.261;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.262;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.263;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.264;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.265;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica, bilateral;I60-I69;Enfermedades cerebrovasculares
I69.269;Otro sindrome paralitico tras otro tipo de hemorragia intracraneal no traumatica con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.290;Apraxia tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.291;Disfagia tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.292;Paresia facial tras otros tipos de hemorragia intracraneal;I60-I69;Enfermedades cerebrovasculares
I69.293;Ataxia tras otro tipo de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.298;Otras secuelas de otros tipos de hemorragia intracraneal no traumatica;I60-I69;Enfermedades cerebrovasculares
I69.30;Secuelas no especificadas de infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.31;Deterioro cognitivo tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.320;Afasia tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.321;Disfasia tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.322;Disartria tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.323;Trastorno de la fluidez del habla tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.328;Otros deficits del habla y el lenguaje tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.331;Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.332;Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.333;Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.334;Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.339;Monoplejia de extremidad superior tras infarto cerebral con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.341;Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.342;Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.343;Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.344;Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.349;Monoplejia de extremidad inferior tras infarto cerebral con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.351;Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.352;Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.353;Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.354;Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.359;Hemiplejia y hemiparesia tras infarto cerebral con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.361;Otros sindromes paraliticos tras infarto cerebral con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.362;Otros sindromes paraliticos tras infarto cerebral con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.363;Otros sindromes paraliticos tras infarto cerebral con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.364;Otros sindromes paraliticos tras infarto cerebral con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.365;Otros sindromes paraliticos tras infarto cerebral, bilaterales;I60-I69;Enfermedades cerebrovasculares
I69.369;Otros sindromes paraliticos tras infarto cerebral con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.390;Apraxia tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.391;Disfagia tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.392;Paresia facial tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.393;Ataxia tras infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.398;Otras secuelas de infarto cerebral;I60-I69;Enfermedades cerebrovasculares
I69.80;Secuelas no especificadas de otro tipo de enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.81;Deterioro cognitivo tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.820;Afasia tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.821;Disfasia tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.822;Disartria tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.823;Trastorno de la fluidez del habla tras otro tipo de enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.828;Otros deficits del habla y el lenguaje tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.831;Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.832;Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.833;Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.834;Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.839;Monoplejia de extremidad superior tras otra enfermedad cerebrovascular con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.841;Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.842;Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.843;Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.844;Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.849;Monoplejia de extremidad inferior tras otra enfermedad cerebrovascular con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.851;Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.852;Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.853;Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.854;Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.859;Hemiplejia y hemiparesia tras otra enfermedad cerebrovascular con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.861;Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.862;Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.863;Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.864;Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.865;Otro sindrome paralitico tras otra enfermedad cerebrovascular, bilateral;I60-I69;Enfermedades cerebrovasculares
I69.869;Otro sindrome paralitico tras otra enfermedad cerebrovascular con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.890;Apraxia tras otros tipos de enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.891;Disfagia tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.892;Paresia facial tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.893;Ataxia tras otra enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.898;Otras secuelas de enfermedad cerebrovascular;I60-I69;Enfermedades cerebrovasculares
I69.90;Secuelas no especificadas de enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.91;Deterioro cognitivo tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.920;Afasia tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.921;Disfasia tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.922;Disartria tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.923;Trastorno de la fluidez del habla tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.928;Otros deficits del habla y el lenguaje tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.931;Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.932;Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.933;Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.934;Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.939;Monoplejia de extremidad superior tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.941;Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.942;Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.943;Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.944;Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.949;Monoplejia de extremidad inferior tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.951;Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.952;Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.953;Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.954;Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.959;Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.961;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado derecho dominante;I60-I69;Enfermedades cerebrovasculares
I69.962;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo dominante;I60-I69;Enfermedades cerebrovasculares
I69.963;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado derecho no dominante;I60-I69;Enfermedades cerebrovasculares
I69.964;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado izquierdo no dominante;I60-I69;Enfermedades cerebrovasculares
I69.965;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada, bilateral;I60-I69;Enfermedades cerebrovasculares
I69.969;Otro sindrome paralitico tras enfermedad cerebrovascular no especificada con afectacion de lado no especificado;I60-I69;Enfermedades cerebrovasculares
I69.990;Apraxia tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.991;Disfagia tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.992;Paresia facial tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.993;Ataxia tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I69.998;Otras secuelas tras enfermedad cerebrovascular no especificada;I60-I69;Enfermedades cerebrovasculares
I70.0;Aterosclerosis de aorta;I70-I79;Enfermedades de arterias, arteriolas y capilares
I70.1;Aterosclerosis de arteria renal;I70-I79;Enfermedades de arterias, arteriolas y capilares
I70.201;Aterosclerosis no especificada de arterias nativas de las extremidades, pierna derecha;I70-I79;Enfermedades de arterias, arteriolas y capilares
I70.202;Aterosclerosis no especificada de arterias nativas de las extremidades, pierna izquierda;I70-I79;Enfermedades de arterias, arteriolas y capilares
